exp,imp,v
Bahamas,Singapore,38047.387
Bahamas,Turks and Caicos Isds,17924.556
Bahamas,USA,122507.83499999999
Bahamas,Zimbabwe,17013.997
Bahrain,Australia,12044.66
Bahrain,Austria,1605.74
Bahrain,Belgium,107647.19699999999
Bahrain,Brazil,42887.624
Bahrain,Canada,13247.053999999998
Bahrain,China,49421.108
Bahrain,Djibouti,7343.851000000001
Bahrain,Ethiopia,17439.539
Bahrain,France,151603.6
Bahrain,India,118769.178
Bahrain,Italy,117645.712
Bahrain,Japan,587865.265
Bahrain,Jordan,68776.84199999999
Bahrain,Kenya,45434.439000000006
Bahrain,Malaysia,37593.741
Bahrain,Maldives,1977.4360000000001
Bahrain,Mexico,2145.306
Bahrain,Morocco,20515.308999999997
Bahrain,Mozambique,45089.052
Bahrain,Namibia,17373.014
Bahrain,Netherlands,168117.547
Bahrain,Nigeria,1156.511
Bahrain,Oman,70372.14700000001
Bahrain,Other Asia,53386.651
Bahrain,Pakistan,36868.515999999996
Bahrain,Rep. of Korea,328807.696
Bahrain,Russian Federation,2333.505
Bahrain,Rwanda,12018.906
Bahrain,Saudi Arabia,194089.24800000002
Bahrain,Senegal,2400.078
Bahrain,Singapore,95630.367
Bahrain,South Africa,351559.37899999996
Bahrain,Spain,68660.699
Bahrain,Thailand,46739.578
Bahrain,Turkey,12698.671999999999
Bahrain,USA,127438.536
Bahrain,Uganda,7987.351
Bahrain,United Arab Emirates,2025159.228
Bahrain,United Kingdom,211692.99399999998
Bahrain,Yemen,6944.053999999999
Bangladesh,Malaysia,22544.953999999998
Barbados,Bahamas,3284.4919999999997
Barbados,Jamaica,3599.969
Barbados,Nicaragua,3013.795
Barbados,Niger,2070.5730000000003
Barbados,Togo,20135.682
Belarus,Afghanistan,29631.6
Belarus,Argentina,2132.9120000000003
Belarus,Austria,1056.6580000000001
Belarus,Azerbaijan,30991.638
Belarus,Canada,28213.067000000003
Belarus,Colombia,12675.9
Belarus,Czechia,3668.362
Belarus,Denmark,10394.716999999999
Belarus,Egypt,4776.153
Belarus,Estonia,24293.881
Belarus,Finland,14428.158999999998
Belarus,Germany,8491.261999999999
Belarus,Ireland,3307.6940000000004
Belarus,Israel,1557.592
Belarus,Kazakhstan,18794.112999999998
Belarus,Latvia,60040.506
Belarus,Lithuania,150890.41799999998
Belarus,Malta,24891.9
Belarus,Netherlands,1125848.002
Belarus,Poland,374419.6069999999
Belarus,Rep. of Moldova,35460.05
Belarus,Russian Federation,78831.58899999999
Belarus,Serbia,3825.064
Belarus,Slovakia,46192.87000000001
Belarus,Turkey,1689.701
Belarus,Ukraine,2502570.9570000004
Belarus,United Arab Emirates,3470.075
Belarus,United Kingdom,2791348.1
Belarus,Uzbekistan,2411.459
Belgium,Algeria,94713.774
Belgium,Angola,521658.57000000007
Belgium,Argentina,86417.26400000001
Belgium,Australia,65294.418
Belgium,Austria,46873.17699999999
Belgium,Azerbaijan,15926.655
Belgium,Bahrain,3052.8960000000006
Belgium,Bangladesh,1301.5819999999999
Belgium,Belarus,5673.725999999999
Belgium,Benin,6751.312000000001
Belgium,Bosnia Herzegovina,1505.7499999999998
Belgium,Brazil,265236.033
Belgium,Bulgaria,12204.5
Belgium,Burkina Faso,11882.291
Belgium,Cabo Verde,32514.566
Belgium,Cameroon,31045.392000000003
Belgium,Canada,385886.845
Belgium,Chile,15244.717
Belgium,China,181985.757
Belgium,Colombia,1586.08
Belgium,Congo,10678.122999999998
Belgium,Croatia,10688.564
Belgium,Cuba,9434.104000000001
Belgium,Cyprus,16882.55
Belgium,Czechia,49489.678
Belgium,CÙte d'Ivoire,30348.775000000005
Belgium,Dem. Rep. of the Congo,2826.091999999999
Belgium,Denmark,91684.621
Belgium,Dominican Rep.,2092.028
Belgium,Egypt,25760.234
Belgium,Equatorial Guinea,1243.2749999999999
Belgium,Estonia,23938.244999999995
Belgium,Ethiopia,2298.065
Belgium,Finland,161658.11000000002
Belgium,France,10675943.861
Belgium,Gabon,2462.303
Belgium,Georgia,1421.0690000000002
Belgium,Germany,5251010.226999999
Belgium,Ghana,65576.89300000001
Belgium,Gibraltar,498979.656
Belgium,Greece,66632.573
Belgium,Guinea,35818.508
Belgium,Hungary,17069.716
Belgium,Iceland,6067.189
Belgium,India,108533.31099999999
Belgium,Indonesia,21578.76
Belgium,Iran,13878.167
Belgium,Iraq,3788.037
Belgium,Ireland,86018.066
Belgium,Israel,16517.809
Belgium,Italy,247343.62599999993
Belgium,Japan,13911.280999999999
Belgium,Jordan,1983.318
Belgium,Kazakhstan,6748.0
Belgium,Kenya,33910.607
Belgium,Kuwait,10007.655999999999
Belgium,Kyrgyzstan,3871.9759999999997
Belgium,Latvia,1135.8489999999997
Belgium,Lebanon,16768.564000000002
Belgium,Liberia,7362.521999999999
Belgium,Libya,25153.576999999997
Belgium,Lithuania,2637.0050000000006
Belgium,Luxembourg,1447838.2200000004
Belgium,Malaysia,9262.900000000001
Belgium,Malta,82765.22000000002
Belgium,Mauritania,12247.408000000001
Belgium,Mexico,17655.385
Belgium,Mongolia,1159.67
Belgium,Morocco,93886.37199999999
Belgium,Mozambique,10856.164999999999
Belgium,Myanmar,2339.999
Belgium,Netherlands,8211392.076
Belgium,New Zealand,5200.609999999999
Belgium,Niger,2003.3480000000002
Belgium,Nigeria,2784788.354
Belgium,Norway,118178.86899999999
Belgium,Oman,2989.803
Belgium,Other Asia,5993.294
Belgium,Pakistan,5705.1669999999995
Belgium,Panama,33813.971999999994
Belgium,Paraguay,29550.201
Belgium,Peru,7821.048000000001
Belgium,Philippines,1144.258
Belgium,Poland,78259.56300000002
Belgium,Portugal,186544.90500000003
Belgium,Qatar,8428.751999999999
Belgium,Rep. of Korea,12149.867
Belgium,Romania,37060.261999999995
Belgium,Russian Federation,122611.06499999999
Belgium,Rwanda,1251.013
Belgium,Saudi Arabia,27890.013999999996
Belgium,Senegal,404337.12600000005
Belgium,Serbia,9027.457999999999
Belgium,Singapore,216571.84300000002
Belgium,Slovakia,6752.039
Belgium,Slovenia,25757.284
Belgium,South Africa,126441.16
Belgium,Spain,354850.657
Belgium,Sri Lanka,1435.485
Belgium,Sweden,188508.05200000003
Belgium,Switzerland,475475.101
Belgium,TFYR of Macedonia,1972.5910000000001
Belgium,Thailand,46067.358
Belgium,Togo,1266927.633
Belgium,Tunisia,6821.829000000001
Belgium,Turkey,70945.12000000001
Belgium,USA,2222106.5939999996
Belgium,Uganda,10406.479000000001
Belgium,Ukraine,19823.607999999997
Belgium,United Arab Emirates,34984.045
Belgium,United Kingdom,3132437.9850000003
Belgium,Uzbekistan,1123.914
Belgium,Venezuela,2791.885
Belgium,Viet Nam,11249.739000000001
Belize,USA,12868.79
Benin,India,3672.526
Benin,Malaysia,1295.513
Benin,Mali,2935.72
Benin,Netherlands,1505.5120000000002
Benin,Nigeria,8997.108
Benin,Rep. of Korea,3803.975
Benin,Russian Federation,1167.0710000000001
Benin,Switzerland,1880.229
Benin,USA,7256.632
Bermuda,Pakistan,85777.80900000001
Bhutan,India,31410.427000000003
Bolivia (Plurinational State of),Argentina,1338151.945
Bolivia (Plurinational State of),Brazil,1605196.7340000002
Bolivia (Plurinational State of),Chile,1776.9499999999998
Bolivia (Plurinational State of),Colombia,2671.278
Bolivia (Plurinational State of),Ecuador,3181.6440000000002
Bolivia (Plurinational State of),Panama,6140.504
Bolivia (Plurinational State of),Paraguay,32128.044
Bolivia (Plurinational State of),Peru,44305.436
Bolivia (Plurinational State of),Spain,13828.163
Bolivia (Plurinational State of),USA,11965.616000000002
Bosnia Herzegovina,Austria,12005.092
Bosnia Herzegovina,Bulgaria,3696.358
Bosnia Herzegovina,Croatia,194421.73700000002
Bosnia Herzegovina,Czechia,14076.245
Bosnia Herzegovina,Germany,4775.474
Bosnia Herzegovina,Hungary,3366.12
Bosnia Herzegovina,Italy,100611.55200000001
Bosnia Herzegovina,Jordan,6224.798000000001
Bosnia Herzegovina,Montenegro,14229.686
Bosnia Herzegovina,Poland,10653.670999999998
Bosnia Herzegovina,Romania,1548.005
Bosnia Herzegovina,Serbia,96297.516
Bosnia Herzegovina,Slovakia,1777.395
Bosnia Herzegovina,Slovenia,16969.963
Bosnia Herzegovina,Switzerland,36272.846
Bosnia Herzegovina,TFYR of Macedonia,4909.211
Bosnia Herzegovina,Ukraine,7706.456999999999
Br. Virgin Isds,Bahamas,2524.087
Br. Virgin Isds,Dominican Rep.,67195.516
Br. Virgin Isds,Zimbabwe,1289.473
Brazil,Antigua and Barbuda,7679.331999999999
Brazil,Argentina,171028.15800000005
Brazil,Bahamas,78857.767
Brazil,Bahrain,20699.659
Brazil,Belgium,14021.506000000001
Brazil,Bermuda,1007.4910000000001
Brazil,Bolivia (Plurinational State of),29361.383
Brazil,Canada,63599.253
Brazil,Cayman Isds,4911.677
Brazil,Chile,9287.606
Brazil,China,274446.033
Brazil,Colombia,15618.181999999999
Brazil,Cyprus,23781.828999999998
Brazil,Denmark,4845.155
Brazil,Dominican Rep.,9637.947999999999
Brazil,Ecuador,1143.9389999999999
Brazil,Egypt,3541.5679999999998
Brazil,France,107215.319
Brazil,Germany,11002.225
Brazil,Ghana,1008.24
Brazil,Gibraltar,24067.921000000002
Brazil,Greece,4920.454
Brazil,India,2401.6369999999997
Brazil,Indonesia,8678.503
Brazil,Iran,1096.6589999999999
Brazil,Italy,3382.6290000000004
Brazil,Japan,3270.983
Brazil,Lebanon,4042.205
Brazil,Liberia,99788.015
Brazil,Luxembourg,3093.201
Brazil,Malaysia,6766.14
Brazil,Malta,42864.386
Brazil,Marshall Isds,122949.615
Brazil,Mexico,4009.5739999999996
Brazil,Morocco,25331.699
Brazil,Netherlands,615993.439
Brazil,New Zealand,14082.055
Brazil,Norway,17467.436
Brazil,Other Asia,1003.607
Brazil,Panama,111256.82
Brazil,Paraguay,68778.62100000001
Brazil,Peru,5644.512000000001
Brazil,Philippines,3828.135
Brazil,Poland,9134.289
Brazil,Portugal,15847.736000000003
Brazil,Qatar,6222.85
Brazil,Rep. of Korea,35440.56799999999
Brazil,Saint Lucia,8154.524
Brazil,Senegal,1164.192
Brazil,Singapore,1060246.6069999998
Brazil,Slovenia,4956.559
Brazil,South Africa,36551.275
Brazil,Spain,57741.541000000005
Brazil,Sweden,1942.405
Brazil,Switzerland,3586.3039999999996
Brazil,Thailand,3037.266
Brazil,Turkey,12587.056
Brazil,USA,956938.63
Brazil,United Arab Emirates,76416.27299999999
Brazil,United Kingdom,16288.186999999998
Brazil,Uruguay,16357.223999999998
Brazil,Venezuela,1337.9250000000002
Brunei Darussalam,China,113291.59800000001
Brunei Darussalam,Japan,1987860.695
Brunei Darussalam,Malaysia,190469.42799999996
Brunei Darussalam,Other Asia,310868.563
Brunei Darussalam,Rep. of Korea,317964.01900000003
Brunei Darussalam,South Africa,9552.447
Brunei Darussalam,Thailand,27611.068000000003
Bulgaria,Algeria,21150.052000000003
Bulgaria,Armenia,13926.742
Bulgaria,Austria,4190.263
Bulgaria,Azerbaijan,4845.042
Bulgaria,Bosnia Herzegovina,1556.423
Bulgaria,Croatia,31129.313
Bulgaria,Cyprus,8561.516
Bulgaria,Czechia,76893.25499999999
Bulgaria,Denmark,31349.263
Bulgaria,Egypt,167233.55
Bulgaria,France,13429.565
Bulgaria,Georgia,86647.51
Bulgaria,Germany,5931.156
Bulgaria,Gibraltar,190931.715
Bulgaria,Greece,201464.903
Bulgaria,Hungary,17416.756
Bulgaria,Ireland,18702.275
Bulgaria,Italy,270536.56999999995
Bulgaria,Lebanon,21342.695
Bulgaria,Luxembourg,7452.9980000000005
Bulgaria,Netherlands,35302.453000000016
Bulgaria,Nigeria,73603.12700000001
Bulgaria,Poland,3987.0029999999997
Bulgaria,Rep. of Moldova,16949.115
Bulgaria,Romania,171817.053
Bulgaria,Serbia,86191.66100000002
Bulgaria,Singapore,80411.032
Bulgaria,Slovakia,2729.876
Bulgaria,Slovenia,80213.713
Bulgaria,South Africa,7373.808000000001
Bulgaria,TFYR of Macedonia,131544.81999999998
Bulgaria,Tunisia,75479.724
Bulgaria,Turkey,462199.427
Bulgaria,USA,75128.625
Bulgaria,Ukraine,33610.72
Bulgaria,United Kingdom,4888.8009999999995
Burkina Faso,Belgium,1576.31
Burkina Faso,Ethiopia,6213.346
Burkina Faso,Morocco,1198.493
Burkina Faso,Senegal,1074.465
Burkina Faso,Turkey,3932.954
Burundi,Dem. Rep. of the Congo,1599.391
Burundi,Ethiopia,1111.752
Burundi,Kenya,1788.1
Cameroon,Central African Rep.,7074.982
Cameroon,China,70290.474
Cameroon,Congo,1401.4599999999998
Cameroon,India,103513.893
Cameroon,Italy,25190.72
Cameroon,Malta,14417.594
Cameroon,Other Asia,20451.715
Cameroon,Senegal,4704.713
Cameroon,Spain,20481.963
Cameroon,USA,73439.509
Canada,Argentina,3775.7410000000004
Canada,Australia,2235.0960000000005
Canada,Bahamas,253697.215
Canada,Belgium,10388.366
Canada,Bonaire,15955.375
Canada,Brazil,64565.889
Canada,Chile,2011.1330000000003
Canada,China,82233.16100000001
Canada,Costa Rica,2079.874
Canada,Denmark,18236.685999999998
Canada,Dominican Rep.,3753.508
Canada,Egypt,1107.198
Canada,Finland,2058.844
Canada,France,38619.33999999999
Canada,Germany,29393.734
Canada,Iceland,57129.644
Canada,Ireland,34015.867999999995
Canada,Israel,1318.5249999999999
Canada,Italy,1381.1809999999998
Canada,Japan,77409.186
Canada,Mexico,382015.31999999995
